created_at	updated_at	lead_time	text	label	id	annotator	annotation_id
2023-03-28T08:40:29.203116Z	2023-03-28T08:40:29.203116Z	8.75	Что такое паспорт?	[{"start": 10, "end": 17, "text": "паспорт", "labels": ["документ"]}]	93	1	92
2023-03-28T08:40:39.295219Z	2023-03-28T08:40:39.295219Z	8.953	Что будет, если я потеряю паспорт?	[{"start": 26, "end": 33, "text": "паспорт", "labels": ["документ"]}, {"start": 18, "end": 25, "text": "потеряю", "labels": ["операция"]}]	94	1	93
2023-03-28T08:40:50.246270Z	2023-03-28T08:40:50.246270Z	9.974	Зачем нужен загран паспорт?	[{"start": 19, "end": 26, "text": "паспорт", "labels": ["документ"]}]	95	1	94
2023-03-28T08:41:00.963057Z	2023-03-28T08:41:00.963057Z	8.543	Как оформить СНИЛС	[{"start": 13, "end": 18, "text": "СНИЛС", "labels": ["документ"]}, {"start": 4, "end": 12, "text": "оформить", "labels": ["операция"]}]	96	1	95
2023-03-28T08:41:39.421507Z	2023-03-28T08:41:39.421507Z	36.114	Как получить ИНН на ребёнка?	[{"start": 13, "end": 16, "text": "ИНН", "labels": ["документ"]}, {"start": 17, "end": 27, "text": "на ребёнка", "labels": ["соц_статус_человека"]}, {"start": 4, "end": 12, "text": "получить", "labels": ["операция"]}]	97	1	96
2023-03-28T08:43:19.338020Z	2023-03-28T08:43:19.338020Z	98.237	Куда подавать документы для смены ФИО?	[{"start": 5, "end": 23, "text": "подавать документы", "labels": ["операция"]}, {"start": 24, "end": 37, "text": "для смены ФИО", "labels": ["операция"]}]	98	1	97
2023-03-28T08:43:27.745003Z	2023-03-28T08:43:27.745003Z	6.957	Сколько времени занимает регистрация перемены имени	[{"start": 25, "end": 51, "text": "регистрация перемены имени", "labels": ["операция"]}]	99	1	98
2023-03-28T08:43:43.519965Z	2023-03-28T08:43:43.520965Z	13.905	Как оформить временную регистрацию в МВД или МФЦ	[{"start": 37, "end": 40, "text": "МВД", "labels": ["гос_орган"]}, {"start": 45, "end": 48, "text": "МФЦ", "labels": ["гос_орган"]}, {"start": 4, "end": 12, "text": "оформить", "labels": ["операция"]}, {"start": 13, "end": 34, "text": "временную регистрацию", "labels": ["документ"]}]	100	1	99
2023-03-28T08:43:58.754008Z	2023-03-28T08:43:58.754008Z	13.687	Размер госпошлины при получении паспорта	[{"start": 32, "end": 40, "text": "паспорта", "labels": ["документ"]}, {"start": 18, "end": 31, "text": "при получении", "labels": ["операция"]}]	101	1	100
2023-03-28T08:44:13.763355Z	2023-03-28T08:44:13.763355Z	12.112	Как записаться на приём в МВД	[{"start": 24, "end": 29, "text": "в МВД", "labels": ["гос_орган"]}, {"start": 4, "end": 23, "text": "записаться на приём", "labels": ["операция"]}]	102	1	101
2023-03-28T08:44:25.504307Z	2023-03-28T08:44:25.504307Z	10.331	Как оформить прописку через Госуслуги	[{"start": 28, "end": 37, "text": "Госуслуги", "labels": ["гос_орган"]}, {"start": 4, "end": 21, "text": "оформить прописку", "labels": ["операция"]}]	103	1	102
2023-03-28T08:44:33.803351Z	2023-03-28T08:44:33.803351Z	7.124	С кем прописать ребёнка	[{"start": 16, "end": 23, "text": "ребёнка", "labels": ["соц_статус_человека"]}, {"start": 6, "end": 15, "text": "прописать", "labels": ["операция"]}]	104	1	103
2023-03-28T08:44:48.057074Z	2023-03-28T08:44:48.057074Z	12.869	Сколько времени занимает регистрация перемены имени	[{"start": 25, "end": 51, "text": "регистрация перемены имени", "labels": ["операция"]}]	105	1	104
2023-03-28T08:45:12.795875Z	2023-03-28T08:45:12.795875Z	23.56	Как получить согласие органов опеки на смену имени ребёнка	[{"start": 36, "end": 50, "text": "на смену имени", "labels": ["операция"]}, {"start": 51, "end": 58, "text": "ребёнка", "labels": ["соц_статус_человека"]}, {"start": 13, "end": 35, "text": "согласие органов опеки", "labels": ["документ"]}]	106	1	105
2023-03-28T08:46:09.751570Z	2023-03-28T08:46:09.751570Z	55.863	Какие нужны документы для смены имени	[{"start": 22, "end": 37, "text": "для смены имени", "labels": ["операция"]}]	107	1	106
2023-03-28T08:46:25.802919Z	2023-03-28T08:46:25.802919Z	14.058	Какие символы нельзя использовать в имени	[{"start": 6, "end": 33, "text": "символы нельзя использовать", "labels": ["операция"]}]	108	1	107
2023-03-28T08:48:32.924676Z	2023-03-28T08:48:32.924676Z	5.236	Как оплатить штраф со скидкой	[{"start": 4, "end": 18, "text": "оплатить штраф", "labels": ["операция"]}]	118	1	108
